title,category,cluster,role,primary_keyword,search_intent,commercial_intent,adsense_potential,affiliate_potential,seo_difficulty,ai_production_feasibility,internal_links_existing,internal_links_future,recommended_batch,reason_for_inclusion
Best Project Management Software for Small Teams,Business Software,Project Mgmt,PILLAR,best project management software for small teams,Commercial (best-x),HIGH,HIGH,HIGH,HIGH,HIGH,Notion vs Google Sheets; Airtable vs Google Sheets,Trello vs Asana vs ClickUp; Best Free Project Management Tools; Notion vs ClickUp,Batch 3,"PM-pillar anchor; excellent affiliate (monday, ClickUp, Asana). SERP is niche-authority-heavy (DPM, project-management.com) — hard but a cornerstone; supporting comparisons catch t"
Trello vs Asana vs ClickUp: Which to Use?,Software Comparisons,Project Mgmt,COMPARISON,trello vs asana vs clickup,Commercial (comparison),HIGH,HIGH,HIGH,MED,MED,—,Best Project Management Software for Small Teams; Notion vs ClickUp,Batch 3,Decision-stage with top affiliate value and a more beatable comparison SERP. One of the best effort-to-reward picks in the whole plan.
Best Free Project Management Tools,Business Software,Project Mgmt,SUPPORTING,best free project management tools,Commercial (best-x),MED,MED,MED,MED,HIGH,—,Best Project Management Software for Small Teams; Trello vs Asana vs ClickUp,Batch 3,'Free' intent ranks faster and feeds the paid pillar; feasible to research thoroughly.
Notion vs ClickUp: Which for Your Team?,Software Comparisons,Project Mgmt,COMPARISON,notion vs clickup,Commercial (comparison),MED,MED,MED,MED,MED,Notion vs Google Sheets,Best Project Management Software for Small Teams; Notion vs Obsidian vs Evernote,Batch 3,"Connects PM and Productivity clusters (Notion bridges both). Comparison intent, solid affiliate."
How to Build a Simple CRM in Google Sheets,Spreadsheets & Data,Spreadsheets,BRIDGE,crm in google sheets,Informational (how-to),MED,MED,MED,MED,HIGH,CRM vs Spreadsheet; VLOOKUP in Google Sheets; How to Make a Budget in Google Sheets,Best CRM for Small Businesses; Best Free CRM,Batch 3,Bridge #5: connects the spreadsheets pillar to the CRM money cluster; funnels DIY readers toward 'when to upgrade to a real CRM'.
Best Invoicing Software for Freelancers,Business Software,Invoicing,PILLAR,best invoicing software for freelancers,Commercial (best-x),HIGH,HIGH,HIGH,MED,HIGH,How to Make a Budget in Google Sheets,QuickBooks vs Xero vs Wave; Best Accounting Software for Small Business; Best Free Invoicing Software,Batch 4,"Invoicing-pillar anchor. Strong buyer intent and affiliate (FreshBooks, Bonsai, Zoho). SERP mixes review sites and vendors — beatable with a clear, honest ranked guide."
QuickBooks vs Xero vs Wave: Accounting Compared,Software Comparisons,Invoicing,COMPARISON,quickbooks vs xero vs wave,Commercial (comparison),HIGH,HIGH,HIGH,MED,MED,—,Best Invoicing Software for Freelancers; Best Accounting Software for Small Business,Batch 4,Very high affiliate value (QuickBooks/Xero programs). Comparison intent is more rankable than 'best accounting software'.
Best Accounting Software for Small Business,Business Software,Invoicing,SUPPORTING,best accounting software for small business,Commercial (best-x),HIGH,HIGH,HIGH,HIGH,MED,—,QuickBooks vs Xero vs Wave; Best Invoicing Software for Freelancers,Batch 4,"High commercial value but very competitive (NerdWallet, Forbes). Publish once the invoicing cluster has traction."
Best Free Invoicing Software,Business Software,Invoicing,SUPPORTING,best free invoicing software,Commercial (best-x),MED,MED,MED,MED,HIGH,—,Best Invoicing Software for Freelancers; QuickBooks vs Xero vs Wave,Batch 4,"Supports the invoicing pillar; 'free' intent is easier to rank and feeds freemium affiliate (Wave, Zoho Invoice)."
Best AI Writing Tools for Marketing,AI Tools,AI Tools,SUPPORTING,best ai writing tools,Commercial (best-x),HIGH,HIGH,HIGH,HIGH,HIGH,—,Best AI Tools for Small Businesses; ChatGPT vs Claude vs Gemini,Batch 4,"Strong affiliate (Jasper, Copy.ai, Grammarly), but SERP is crowded with affiliate sites — harder to rank early. Great once the AI cluster has authority."
Best Productivity Apps for Small Business,Productivity,Productivity,PILLAR,best productivity apps for small business,Commercial (best-x),MED,MED,MED,HIGH,HIGH,Best AI Tools for Small Businesses,Best To-Do List Apps; Best Note-Taking Apps for Work,Batch 5,"Productivity-pillar anchor tying the cluster together; broad and evergreen, though a crowded SERP."
Best To-Do List Apps (2026),Productivity,Productivity,SUPPORTING,best to do list apps,Commercial (best-x),MED,MED,MED,HIGH,HIGH,—,Best Productivity Apps for Small Business; Best Note-Taking Apps for Work,Batch 5,"High volume, evergreen. Zapier/G2 dominate — publish inside a supported cluster to compete."
Best Note-Taking Apps for Work,Productivity,Productivity,SUPPORTING,best note taking app for work,Commercial (best-x),MED,MED,MED,HIGH,HIGH,Notion vs Google Sheets,Notion vs Obsidian vs Evernote; Best Productivity Apps for Small Business,Batch 5,High volume but SERP is G2/Zapier/TechRadar-heavy (high difficulty). Strong pillar content; rank via the comparison supporting posts.
Notion vs Obsidian vs Evernote,Software Comparisons,Productivity,COMPARISON,notion vs obsidian vs evernote,Commercial (comparison),MED,MED,MED,MED,MED,Notion vs Google Sheets,Best Note-Taking Apps for Work; Notion vs ClickUp,Batch 5,More beatable comparison SERP that feeds the note-taking pillar; Notion is a recurring bridge across clusters.
