current_url,title,type,category,status,incoming_internal_links,outgoing_internal_links,canonical,sitemap_status,planned_action
/excel/tutorials/how-to-remove-duplicates-in-excel/,How to Remove Duplicates in Excel (3 Ways),article,Excel · Tutorials,live (200),5,4,https://griddojo.com/excel/tutorials/how-to-remove-duplicates-in-excel/,in sitemap,KEEP
/excel/tutorials/how-to-sort-and-filter-data-in-excel/,How to Sort and Filter Data in Excel,article,Excel · Tutorials,live (200),0,5,https://griddojo.com/excel/tutorials/how-to-sort-and-filter-data-in-excel/,in sitemap,KEEP
/excel/tutorials/how-to-use-sumif-in-excel/,How to Use SUMIF in Excel (with Examples),article,Excel · Tutorials,live (200),5,4,https://griddojo.com/excel/tutorials/how-to-use-sumif-in-excel/,in sitemap,KEEP
/excel/fixes/how-to-fix-value-error-excel/,How to Fix the #VALUE! Error in Excel,article,Excel · Fixes,live (200),5,4,https://griddojo.com/excel/fixes/how-to-fix-value-error-excel/,in sitemap,KEEP
/excel/tutorials/how-to-use-vlookup-in-excel/,How to Use VLOOKUP in Excel (with Examples),article,Excel · Tutorials,live (200),11,4,https://griddojo.com/excel/tutorials/how-to-use-vlookup-in-excel/,in sitemap,IMPROVE
/compare/guides/excel-vs-google-sheets/,Excel vs Google Sheets: Which Should You Use in 2026?,article,Comparisons,live (200),12,5,https://griddojo.com/compare/guides/excel-vs-google-sheets/,in sitemap,IMPROVE
/excel/tutorials/how-to-use-xlookup-in-excel/,How to Use XLOOKUP in Excel (with Examples),article,Excel · Tutorials,live (200),1,6,https://griddojo.com/excel/tutorials/how-to-use-xlookup-in-excel/,in sitemap,KEEP
/compare/guides/best-google-sheets-alternatives/,7 Best Google Sheets Alternatives (Free & Paid),article,Comparisons,live (200),6,4,https://griddojo.com/compare/guides/best-google-sheets-alternatives/,in sitemap,CONSOLIDATE
/google-sheets/tutorials/how-to-make-a-budget-in-google-sheets/,How to Make a Budget in Google Sheets,article,Google Sheets · Tutorials,live (200),0,7,https://griddojo.com/google-sheets/tutorials/how-to-make-a-budget-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-use-conditional-formatting-in-google-sheets/,How to Use Conditional Formatting in Google Sheets,article,Google Sheets · Tutorials,live (200),2,5,https://griddojo.com/google-sheets/tutorials/how-to-use-conditional-formatting-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-use-countif-in-google-sheets/,How to Use COUNTIF in Google Sheets,article,Google Sheets · Tutorials,live (200),0,7,https://griddojo.com/google-sheets/tutorials/how-to-use-countif-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-create-a-drop-down-list-in-google-sheets/,How to Make a Drop-Down List in Google Sheets,article,Google Sheets · Tutorials,live (200),2,3,https://griddojo.com/google-sheets/tutorials/how-to-create-a-drop-down-list-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-freeze-rows-and-columns-in-google-sheets/,How to Freeze Rows and Columns in Google Sheets,article,Google Sheets · Tutorials,live (200),2,2,https://griddojo.com/google-sheets/tutorials/how-to-freeze-rows-and-columns-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-use-if-function-in-google-sheets/,How to Use the IF Function in Google Sheets,article,Google Sheets · Tutorials,live (200),7,4,https://griddojo.com/google-sheets/tutorials/how-to-use-if-function-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-make-a-graph-in-google-sheets/,How to Make a Graph in Google Sheets,article,Google Sheets · Tutorials,live (200),6,3,https://griddojo.com/google-sheets/tutorials/how-to-make-a-graph-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-make-a-pivot-table-in-google-sheets/,How to Make a Pivot Table in Google Sheets,article,Google Sheets · Tutorials,live (200),7,4,https://griddojo.com/google-sheets/tutorials/how-to-make-a-pivot-table-in-google-sheets/,in sitemap,IMPROVE
/google-sheets/tutorials/how-to-use-query-function-in-google-sheets/,How to Use the QUERY Function in Google Sheets,article,Google Sheets · Tutorials,live (200),0,5,https://griddojo.com/google-sheets/tutorials/how-to-use-query-function-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-remove-duplicates-in-google-sheets/,How to Remove Duplicates in Google Sheets,article,Google Sheets · Tutorials,live (200),6,4,https://griddojo.com/google-sheets/tutorials/how-to-remove-duplicates-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-sort-and-filter-in-google-sheets/,How to Sort and Filter Data in Google Sheets,article,Google Sheets · Tutorials,live (200),3,4,https://griddojo.com/google-sheets/tutorials/how-to-sort-and-filter-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-use-sumif-in-google-sheets/,How to Use SUMIF in Google Sheets,article,Google Sheets · Tutorials,live (200),9,4,https://griddojo.com/google-sheets/tutorials/how-to-use-sumif-in-google-sheets/,in sitemap,KEEP
/google-sheets/tutorials/how-to-use-vlookup-in-google-sheets/,How to Use VLOOKUP in Google Sheets,article,Google Sheets · Tutorials,live (200),9,4,https://griddojo.com/google-sheets/tutorials/how-to-use-vlookup-in-google-sheets/,in sitemap,IMPROVE
/compare/guides/libreoffice-calc-vs-excel/,LibreOffice Calc vs Excel: Which Should You Use?,article,Comparisons,live (200),2,4,https://griddojo.com/compare/guides/libreoffice-calc-vs-excel/,in sitemap,KEEP
/compare/guides/microsoft-365-vs-google-workspace/,Microsoft 365 vs Google Workspace: Which Is Better?,article,Comparisons,live (200),4,4,https://griddojo.com/compare/guides/microsoft-365-vs-google-workspace/,in sitemap,KEEP
/compare/guides/notion-vs-google-sheets/,Notion vs Google Sheets: Which Should You Use?,article,Comparisons,live (200),3,4,https://griddojo.com/compare/guides/notion-vs-google-sheets/,in sitemap,KEEP
/compare/guides/wps-office-vs-excel/,WPS Office vs Excel: Which Should You Use?,article,Comparisons,live (200),0,5,https://griddojo.com/compare/guides/wps-office-vs-excel/,in sitemap,KEEP
/privacy-policy/,Privacy Policy,institutional,Institutional,live (200),—,—,https://griddojo.com/privacy-policy/,in sitemap,KEEP
/contact/,Contact,institutional,Institutional,live (200),—,—,https://griddojo.com/contact/,in sitemap,KEEP
/terms/,Terms of Use,institutional,Institutional,live (200),—,—,https://griddojo.com/terms/,in sitemap,KEEP
/about/,About GridDojo,institutional,Institutional,live (200),—,—,https://griddojo.com/about/,in sitemap,KEEP
/,Home,structural,Structural,live (200),—,—,https://griddojo.com/,in sitemap,KEEP
/excel/,Excel pillar,structural,Structural,live (200),—,—,https://griddojo.com/excel/,in sitemap,KEEP
/google-sheets/,Google Sheets pillar,structural,Structural,live (200),—,—,https://griddojo.com/google-sheets/,in sitemap,KEEP
/compare/,Comparisons pillar,structural,Structural,live (200),—,—,https://griddojo.com/compare/,in sitemap,KEEP
/editorial-policy/,Editorial Policy,structural,Structural,live (200),—,—,https://griddojo.com/editorial-policy/,in sitemap,KEEP
/authors/griddojo-team/,Author: GridDojo Team,structural,Structural,live (200),—,—,https://griddojo.com/authors/griddojo-team/,in sitemap,KEEP
